Nsub,Npheno,Method,Average time per simulation in second,"Time for 10,000 Simulations in Hour"
5000,4,CCT,0.2869991016089916,0.7972197266916434
5000,4,CCT_includeXsquare,0.30312836608141663,0.8420232391150463
5000,4,SMAT,0.7858511012122035,2.1829197255894544
5000,4,SMAT_includeXsquare,0.7960568487510085,2.211269024308357
5000,6,CCT,0.44069604019373654,1.2241556672048237
5000,6,CCT_includeXsquare,0.4804176996514201,1.3344936101428337
5000,6,SMAT,1.0551025623977184,2.9308404511047734
5000,6,SMAT_includeXsquare,1.119663772031665,3.1101771445324022
5000,8,CCT,0.6146996240109205,1.7074989555858904
5000,8,CCT_includeXsquare,0.6738405782610178,1.8717793840583827
5000,8,SMAT,1.5578349179834128,4.327319216620591
5000,8,SMAT_includeXsquare,1.7663969557717443,4.906658210477067
5000,10,CCT,0.8236740018486977,2.287983338468605
5000,10,CCT_includeXsquare,0.9288481122270227,2.5801336450750627
5000,10,SMAT,2.4859031784266232,6.905286606740621
5000,10,SMAT_includeXsquare,2.9628979671239852,8.230272130899959
5000,12,CCT,1.04256833242625,2.896023145628472
5000,12,CCT_includeXsquare,1.1936775218710303,3.3157708940861954
5000,12,SMAT,4.083413737212122,11.342815936700337
5000,12,SMAT_includeXsquare,5.2696134518802165,14.637815144111713
10000,4,CCT,0.5316843400925397,1.4769009447014991
10000,4,CCT_includeXsquare,0.5570973094582558,1.5474925262729327
10000,4,SMAT,1.502216191394627,4.172822753873964
10000,4,SMAT_includeXsquare,1.5205995734497906,4.223887704027196
10000,6,CCT,0.8165968852430582,2.2683246812307174
10000,6,CCT_includeXsquare,0.8587869022473693,2.385519172909359
10000,6,SMAT,2.014281009580195,5.5952250266116526
10000,6,SMAT_includeXsquare,2.1446514576509594,5.9573651601415545
10000,8,CCT,1.1381072690874339,3.1614090807984274
10000,8,CCT_includeXsquare,1.2151039300575852,3.3752886946044036
10000,8,SMAT,2.9979120971783995,8.327533603273332
10000,8,SMAT_includeXsquare,3.3457802745446563,9.29383409595738
10000,10,CCT,1.4901626305103302,4.1393406403064725
10000,10,CCT_includeXsquare,1.6190852469936015,4.497459019426671
10000,10,SMAT,4.639838693328202,12.88844081480056
10000,10,SMAT_includeXsquare,5.602070760963857,15.561307669344046
10000,12,CCT,1.905885359698534,5.294125999162595
10000,12,CCT_includeXsquare,2.0777746997505426,5.7715963881959516
10000,12,SMAT,7.746075791360438,21.516877198223437
10000,12,SMAT_includeXsquare,10.070889472313226,27.97469297864785
